Variable Name,Solution Value
"export_proc_china[2072,proc,loh]",2459.619844
"export_proc_china[2073,proc,loh]",2496.275367
"export_proc_china[2074,proc,loh]",2532.466222
"export_proc_china[2075,proc,loh]",2568.233946
"export_proc_china[2076,proc,loh]",2603.619689
"export_proc_china[2077,proc,loh]",2638.663902
"export_proc_china[2078,proc,loh]",2673.40608
"export_proc_china[2079,proc,loh]",2707.884573
"export_proc_china[2080,proc,loh]",2742.13643
"export_proc_china[2081,proc,loh]",2776.197297
"export_proc_china[2082,proc,loh]",2810.10134
"export_proc_china[2083,proc,loh]",2843.881206
"export_proc_china[2084,proc,loh]",2877.568008
"export_proc_china[2085,proc,loh]",2911.191321
"export_proc_china[2086,proc,loh]",2944.77921
"export_proc_china[2087,proc,loh]",2978.358261
"export_proc_china[2088,proc,loh]",3011.953622
"export_proc_china[2089,proc,loh]",3045.589058
"export_proc_china[2090,proc,loh]",3079.287006
"export_proc_china[2091,proc,loh]",3113.068638
"export_proc_china[2092,proc,loh]",3146.953919
"export_proc_china[2093,proc,loh]",3180.961681
"export_proc_china[2094,proc,loh]",3215.109678
"export_proc_china[2095,proc,loh]",3249.414655
"export_proc_china[2096,proc,loh]",3283.892412
"export_proc_china[2097,proc,loh]",3318.557861
"export_proc_china[2098,proc,loh]",3353.425086
"export_proc_china[2099,proc,loh]",3388.507402
"export_proc_china[2100,proc,loh]",3423.81741
