year,stage,input,output,prod
2047,proc,clay,lce,809.8535397
2048,proc,brine,loh,0.0
2048,proc,brine,lce,0.0
2048,proc,spod,loh,1400.646125
2048,proc,spod,lce,0.0
2048,proc,clay,loh,0.0
2048,proc,clay,lce,851.5259527
2049,proc,brine,loh,0.0
2049,proc,brine,lce,0.0
2049,proc,spod,loh,1119.651113
2049,proc,spod,lce,0.0
2049,proc,clay,loh,0.0
2049,proc,clay,lce,893.4528026
2050,proc,brine,loh,0.0
2050,proc,brine,lce,0.0
2050,proc,spod,loh,1695.871116
2050,proc,spod,lce,0.0
2050,proc,clay,loh,0.0
2050,proc,clay,lce,435.4982623
2051,proc,brine,loh,0.0
2051,proc,brine,lce,0.0
2051,proc,spod,loh,1272.068462
2051,proc,spod,lce,0.0
2051,proc,clay,loh,0.0
2051,proc,clay,lce,577.5312236
2052,proc,brine,loh,0.0
2052,proc,brine,lce,0.0
2052,proc,spod,loh,1348.0177
2052,proc,spod,lce,0.0
2052,proc,clay,loh,0.0
2052,proc,clay,lce,1019.42732
2053,proc,brine,loh,0.0
2053,proc,brine,lce,0.0
2053,proc,spod,loh,1023.50878
2053,proc,spod,lce,0.0
2053,proc,clay,loh,0.0
2053,proc,clay,lce,1061.070682
2054,proc,brine,loh,0.0
2054,proc,brine,lce,0.0
2054,proc,spod,loh,1098.349673
2054,proc,spod,lce,0.0
2054,proc,clay,loh,0.0
2054,proc,clay,lce,1102.355379
2055,proc,brine,loh,0.0
2055,proc,brine,lce,0.0
2055,proc,spod,loh,2072.368369
2055,proc,spod,lce,0.0
2055,proc,clay,loh,0.0
2055,proc,clay,lce,1143.186525
2056,proc,brine,loh,0.0
2056,proc,brine,lce,0.0
2056,proc,spod,loh,2145.414251
2056,proc,spod,lce,0.0
2056,proc,clay,loh,0.0
2056,proc,clay,lce,1183.481035
2057,proc,brine,loh,0.0
2057,proc,brine,lce,0.0
2057,proc,spod,loh,2217.358851
2057,proc,spod,lce,0.0
2057,proc,clay,loh,0.0
2057,proc,clay,lce,1223.168042
2058,proc,brine,loh,0.0
2058,proc,brine,lce,0.0
2058,proc,spod,loh,2288.096028
2058,proc,spod,lce,0.0
2058,proc,clay,loh,0.0
2058,proc,clay,lce,1262.188994
2059,proc,brine,loh,0.0
2059,proc,brine,lce,0.0
2059,proc,spod,loh,2157.541621
2059,proc,spod,lce,0.0
2059,proc,clay,loh,0.0
2059,proc,clay,lce,1300.497466
2060,proc,brine,loh,0.0
2060,proc,brine,lce,0.0
2060,proc,spod,loh,2462.710042
2060,proc,spod,lce,0.0
2060,proc,clay,loh,0.0
2060,proc,clay,lce,1358.511825
2061,proc,brine,loh,0.0
2061,proc,brine,lce,0.0
2061,proc,spod,loh,2518.773589
2061,proc,spod,lce,0.0
2061,proc,clay,loh,0.0
2061,proc,clay,lce,1389.438321
2062,proc,brine,loh,0.0
2062,proc,brine,lce,0.0
2062,proc,spod,loh,2573.869398
2062,proc,spod,lce,0.0
2062,proc,clay,loh,0.0
2062,proc,clay,lce,1419.83098
2063,proc,brine,loh,0.0
2063,proc,brine,lce,0.0
2063,proc,spod,loh,2627.989594
2063,proc,spod,lce,0.0
2063,proc,clay,loh,0.0
2063,proc,clay,lce,1449.68546
2064,proc,brine,loh,0.0
2064,proc,brine,lce,0.0
2064,proc,spod,loh,2681.137851
2064,proc,spod,lce,0.0
2064,proc,clay,loh,0.0
2064,proc,clay,lce,1479.003786
2065,proc,brine,loh,0.0
2065,proc,brine,lce,0.0
2065,proc,spod,loh,2733.328026
2065,proc,spod,lce,0.0
2065,proc,clay,loh,0.0
2065,proc,clay,lce,1507.793602
2066,proc,brine,loh,0.0
2066,proc,brine,lce,0.0
2066,proc,spod,loh,2784.582787
2066,proc,spod,lce,0.0
2066,proc,clay,loh,0.0
2066,proc,clay,lce,1536.067413
2067,proc,brine,loh,0.0
2067,proc,brine,lce,0.0
2067,proc,spod,loh,2834.932277
2067,proc,spod,lce,0.0
2067,proc,clay,loh,0.0
2067,proc,clay,lce,1563.841847
2068,proc,brine,loh,0.0
2068,proc,brine,lce,0.0
2068,proc,spod,loh,2884.41283
2068,proc,spod,lce,0.0
2068,proc,clay,loh,0.0
2068,proc,clay,lce,1591.136947
2069,proc,brine,loh,0.0
2069,proc,brine,lce,0.0
2069,proc,spod,loh,2933.065776
2069,proc,spod,lce,0.0
2069,proc,clay,loh,0.0
2069,proc,clay,lce,1617.975512
2070,proc,brine,loh,0.0
2070,proc,brine,lce,0.0
2070,proc,spod,loh,2980.936338
2070,proc,spod,lce,0.0
2070,proc,clay,loh,0.0
2070,proc,clay,lce,1644.382487
2071,proc,brine,loh,0.0
2071,proc,brine,lce,0.0
2071,proc,spod,loh,3028.072637
2071,proc,spod,lce,0.0
2071,proc,clay,loh,0.0
2071,proc,clay,lce,1670.38442
2072,proc,brine,loh,0.0
2072,proc,brine,lce,0.0
2072,proc,spod,loh,3074.524805
2072,proc,spod,lce,0.0
2072,proc,clay,loh,0.0
2072,proc,clay,lce,1696.008963
2073,proc,brine,loh,0.0
2073,proc,brine,lce,0.0
2073,proc,spod,loh,3120.344209
2073,proc,spod,lce,0.0
2073,proc,clay,loh,0.0
2073,proc,clay,lce,1721.284452
2074,proc,brine,loh,0.0
2074,proc,brine,lce,0.0
2074,proc,spod,loh,3165.582777
2074,proc,spod,lce,0.0
2074,proc,clay,loh,0.0
2074,proc,clay,lce,1746.239534
2075,proc,brine,loh,0.0
2075,proc,brine,lce,0.0
2075,proc,spod,loh,3210.292432
2075,proc,spod,lce,0.0
2075,proc,clay,loh,0.0
2075,proc,clay,lce,1770.90285
2076,proc,brine,loh,0.0
2076,proc,brine,lce,0.0
2076,proc,spod,loh,3254.524611
2076,proc,spod,lce,0.0
2076,proc,clay,loh,0.0
2076,proc,clay,lce,1795.302774
2077,proc,brine,loh,0.0
2077,proc,brine,lce,0.0
2077,proc,spod,loh,3298.329877
2077,proc,spod,lce,0.0
2077,proc,clay,loh,0.0
2077,proc,clay,lce,1819.467198
2078,proc,brine,loh,0.0
2078,proc,brine,lce,0.0
2078,proc,spod,loh,3341.7576
2078,proc,spod,lce,0.0
2078,proc,clay,loh,0.0
2078,proc,clay,lce,1843.423358
2079,proc,brine,loh,0.0
2079,proc,brine,lce,0.0
2079,proc,spod,loh,3384.855716
2079,proc,spod,lce,0.0
2079,proc,clay,loh,0.0
2079,proc,clay,lce,1867.197696
2080,proc,brine,loh,0.0
2080,proc,brine,lce,0.0
2080,proc,spod,loh,3427.670538
2080,proc,spod,lce,0.0
2080,proc,clay,loh,0.0
2080,proc,clay,lce,1890.815759
2081,proc,brine,loh,0.0
2081,proc,brine,lce,0.0
2081,proc,spod,loh,3470.246621
2081,proc,spod,lce,0.0
2081,proc,clay,loh,0.0
2081,proc,clay,lce,1914.302127
2082,proc,brine,loh,0.0
2082,proc,brine,lce,0.0
2082,proc,spod,loh,3512.626675
2082,proc,spod,lce,0.0
2082,proc,clay,loh,0.0
2082,proc,clay,lce,1937.680358
2083,proc,brine,loh,0.0
2083,proc,brine,lce,0.0
2083,proc,spod,loh,3554.851508
2083,proc,spod,lce,0.0
2083,proc,clay,loh,0.0
2083,proc,clay,lce,1960.972964
2084,proc,brine,loh,0.0
2084,proc,brine,lce,0.0
2084,proc,spod,loh,3596.96001
2084,proc,spod,lce,0.0
2084,proc,clay,loh,0.0
2084,proc,clay,lce,1984.201398
2085,proc,brine,loh,0.0
2085,proc,brine,lce,0.0
2085,proc,spod,loh,3638.989151
2085,proc,spod,lce,0.0
2085,proc,clay,loh,0.0
2085,proc,clay,lce,2007.386054
2086,proc,brine,loh,0.0
2086,proc,brine,lce,0.0
2086,proc,spod,loh,3680.974013
2086,proc,spod,lce,0.0
2086,proc,clay,loh,0.0
2086,proc,clay,lce,2030.546284
2087,proc,brine,loh,0.0
2087,proc,brine,lce,0.0
2087,proc,spod,loh,3722.947826
2087,proc,spod,lce,0.0
2087,proc,clay,loh,0.0
2087,proc,clay,lce,2053.700419
2088,proc,brine,loh,0.0
2088,proc,brine,lce,0.0
2088,proc,spod,loh,3764.942028
2088,proc,spod,lce,0.0
2088,proc,clay,loh,0.0
2088,proc,clay,lce,2076.865802
2089,proc,brine,loh,0.0
2089,proc,brine,lce,0.0
2089,proc,spod,loh,3806.986323
2089,proc,spod,lce,0.0
2089,proc,clay,loh,0.0
2089,proc,clay,lce,2100.058817
2090,proc,brine,loh,0.0
2090,proc,brine,lce,0.0
2090,proc,spod,loh,3849.108758
2090,proc,spod,lce,0.0
2090,proc,clay,loh,0.0
2090,proc,clay,lce,2123.294937
2091,proc,brine,loh,0.0
2091,proc,brine,lce,0.0
2091,proc,spod,loh,3891.335797
2091,proc,spod,lce,0.0
2091,proc,clay,loh,0.0
2091,proc,clay,lce,2146.58876
2092,proc,brine,loh,0.0
2092,proc,brine,lce,0.0
2092,proc,spod,loh,3933.692399
2092,proc,spod,lce,0.0
2092,proc,clay,loh,0.0
2092,proc,clay,lce,2169.954054
2093,proc,brine,loh,0.0
2093,proc,brine,lce,0.0
2093,proc,spod,loh,3976.202101
2093,proc,spod,lce,0.0
2093,proc,clay,loh,0.0
2093,proc,clay,lce,2193.403803
2094,proc,brine,loh,0.0
2094,proc,brine,lce,0.0
2094,proc,spod,loh,4018.887097
2094,proc,spod,lce,0.0
2094,proc,clay,loh,0.0
2094,proc,clay,lce,2216.950251
2095,proc,brine,loh,0.0
2095,proc,brine,lce,0.0
2095,proc,spod,loh,4061.768319
2095,proc,spod,lce,0.0
2095,proc,clay,loh,0.0
2095,proc,clay,lce,2240.604943
2096,proc,brine,loh,0.0
2096,proc,brine,lce,0.0
2096,proc,spod,loh,4104.865515
2096,proc,spod,lce,0.0
2096,proc,clay,loh,0.0
2096,proc,clay,lce,2264.378773
2097,proc,brine,loh,0.0
2097,proc,brine,lce,0.0
2097,proc,spod,loh,4148.197326
2097,proc,spod,lce,0.0
2097,proc,clay,loh,0.0
2097,proc,clay,lce,2288.282024
2098,proc,brine,loh,0.0
2098,proc,brine,lce,0.0
2098,proc,spod,loh,4191.781357
2098,proc,spod,lce,0.0
2098,proc,clay,loh,0.0
2098,proc,clay,lce,2312.324409
2099,proc,brine,loh,0.0
2099,proc,brine,lce,0.0
2099,proc,spod,loh,4235.634253
2099,proc,spod,lce,0.0
2099,proc,clay,loh,0.0
2099,proc,clay,lce,2336.515108
2100,proc,brine,loh,0.0
2100,proc,brine,lce,0.0
2100,proc,spod,loh,4279.771763
2100,proc,spod,lce,0.0
2100,proc,clay,loh,0.0
2100,proc,clay,lce,2360.86281
